0, 185 1 1 6;
1, 185 3 1 0;
2, 230 3 1 0;
3, 275 3 1 0;
4, 230 5 1 0;
5, 275 5 1 0;
6, 340 5 1 0;
7, 275 9 1 0;
8, 340 9 1 0;
9, 660 3 1 0;
10, 705 3 1 0;
11, 740 3 1 0;
12, 660 5 1 0;
13, 705 5 1 0;
14, 740 5 1 0;
15, 660 9 1 0;
16, 705 9 1 0;
17, 740 9 1 0;
18, 920 5 1 0;
19, 972 5 1 0;
20, 880 9 1 0;
21, 920 9 1 0;
22, 950 9 1 0;
24, 185 1 1 5;
25, 185 8 1 0;
26, 230 8 1 0;
27, 275 8 1 0;
28, 230 4 1 0;
29, 275 4 1 0;
30, 340 4 1 0;
31, 275 2 1 0;
32, 340 2 1 0;
33, 660 8 1 0;
34, 705 8 1 0;
35, 740 8 1 0;
36, 660 4 1 0;
37, 705 4 1 0;
38, 740 4 1 0;
39, 660 2 1 0;
40, 705 2 1 0;
41, 740 2 1 0;
42, 920 4 1 0;
43, 972 4 1 0;
44, 880 2 1 0;
45, 920 2 1 0;
46, 950 2 1 0;
48, 185 1 1 4;
49, 185 7 1 0;
50, 230 7 1 0;
51, 275 7 1 0;
52, 230 6 1 0;
53, 275 6 1 0;
54, 340 6 1 0;
55, 275 1 1 0;
56, 340 1 1 0;
57, 660 7 1 0;
58, 705 7 1 0;
69, 740 7 1 0;
60, 660 6 1 0;
61, 705 6 1 0;
62, 740 6 1 0;
63, 660 1 1 0;
64, 705 1 1 0;
65, 740 1 1 0;
66, 920 6 1 0;
67, 972 6 1 0;
68, 880 1 1 0;
79, 920 1 1 0;
70, 950 1 1 0;
